transaction_id,adult_id,age_years,age_group_source,transaction_date,year,month,category,merchant,amount_usd,monthly_budget_usd,annual_budget_usd
T0000084,A01,67,65-74 years,2024-02-28T11:37,2024,2,Wages and salaries,Wages and Shop 6,38.14,5544.24,66530.90
T0000085,A01,67,65-74 years,2024-02-03T11:12,2024,2,Housing,Housing Shop 5,120.68,5544.24,66530.90
T0000086,A01,67,65-74 years,2024-02-06T16:57,2024,2,Estimated market value of owned home,Estimated market Shop 5,26.27,5544.24,66530.90
T0000087,A01,67,65-74 years,2024-02-15T09:33,2024,2,Wages and salaries,Wages and Shop 8,214.87,5544.24,66530.90
T0000088,A01,67,65-74 years,2024-02-25T07:43,2024,2,Estimated market value of owned home,Estimated market Shop 9,34.10,5544.24,66530.90
T0000089,A01,67,65-74 years,2024-02-12T15:20,2024,2,Housekeeping supplies,Housekeeping supplies Shop 5,184.39,5544.24,66530.90
T0000090,A01,67,65-74 years,2024-02-17T13:18,2024,2,Estimated market value of owned home,Estimated market Shop 4,57.30,5544.24,66530.90
T0000091,A01,67,65-74 years,2024-02-04T15:14,2024,2,Estimated market value of owned home,Estimated market Shop 4,53.13,5544.24,66530.90
T0000092,A01,67,65-74 years,2024-02-07T19:58,2024,2,Estimated market value of owned home,Estimated market Shop 9,69.11,5544.24,66530.90
T0000093,A01,67,65-74 years,2024-02-14T10:23,2024,2,Estimated market value of owned home,Estimated market Shop 1,187.26,5544.24,66530.90
T0000094,A01,67,65-74 years,2024-02-14T14:16,2024,2,Transportation,Transportation Shop 6,223.16,5544.24,66530.90
T0000095,A01,67,65-74 years,2024-02-05T12:21,2024,2,Estimated market value of owned home,Estimated market Shop 8,61.01,5544.24,66530.90
T0000096,A01,67,65-74 years,2024-02-13T19:18,2024,2,"Social Security, private and government retirement",Social Security Shop 6,287.17,5544.24,66530.90
T0000097,A01,67,65-74 years,2024-02-05T17:14,2024,2,Income before taxes,Income before Shop 2,104.80,5544.24,66530.90
T0000098,A01,67,65-74 years,2024-02-18T16:51,2024,2,Estimated market value of owned home,Estimated market Shop 4,49.96,5544.24,66530.90
T0000099,A01,67,65-74 years,2024-02-24T17:32,2024,2,Estimated market value of owned home,Estimated market Shop 7,285.89,5544.24,66530.90
T0000100,A01,67,65-74 years,2024-02-01T20:24,2024,2,Estimated market value of owned home,Estimated market Shop 9,105.99,5544.24,66530.90
T0000101,A01,67,65-74 years,2024-02-25T16:33,2024,2,Estimated market value of owned home,Estimated market Shop 4,152.69,5544.24,66530.90
T0000102,A01,67,65-74 years,2024-03-19T17:29,2024,3,Life and other personal insurance,Life and Shop 5,68.85,5544.24,66530.90
T0000103,A01,67,65-74 years,2024-03-04T20:15,2024,3,Income before taxes,Income before Shop 9,190.97,5544.24,66530.90
T0000104,A01,67,65-74 years,2024-03-28T09:39,2024,3,Housing,Housing Shop 9,167.32,5544.24,66530.90
T0000105,A01,67,65-74 years,2024-03-10T10:32,2024,3,Healthcare,Healthcare Shop 9,127.21,5544.24,66530.90
T0000106,A01,67,65-74 years,2024-03-11T08:37,2024,3,Estimated market value of owned home,Estimated market Shop 8,54.64,5544.24,66530.90
T0000107,A01,67,65-74 years,2024-03-22T10:27,2024,3,Income before taxes,Income before Shop 1,160.28,5544.24,66530.90
T0000108,A01,67,65-74 years,2024-03-18T20:05,2024,3,Income before taxes,Income before Shop 5,103.89,5544.24,66530.90
T0000109,A01,67,65-74 years,2024-03-02T12:18,2024,3,Estimated market value of owned home,Estimated market Shop 7,337.99,5544.24,66530.90
T0000110,A01,67,65-74 years,2024-03-01T21:28,2024,3,Wages and salaries,Wages and Shop 3,133.97,5544.24,66530.90
T0000111,A01,67,65-74 years,2024-03-07T21:47,2024,3,Estimated market value of owned home,Estimated market Shop 4,114.64,5544.24,66530.90
T0000112,A01,67,65-74 years,2024-03-29T21:13,2024,3,"Cars and trucks, used",Cars and Shop 3,173.46,5544.24,66530.90
T0000113,A01,67,65-74 years,2024-03-13T12:55,2024,3,Income before taxes,Income before Shop 9,54.20,5544.24,66530.90
T0000114,A01,67,65-74 years,2024-03-25T12:40,2024,3,Estimated market value of owned home,Estimated market Shop 3,73.72,5544.24,66530.90
T0000115,A01,67,65-74 years,2024-03-04T21:16,2024,3,Estimated market value of owned home,Estimated market Shop 2,114.63,5544.24,66530.90
T0000116,A01,67,65-74 years,2024-03-18T17:28,2024,3,Wages and salaries,Wages and Shop 3,176.51,5544.24,66530.90
T0000117,A01,67,65-74 years,2024-03-07T17:15,2024,3,Estimated market value of owned home,Estimated market Shop 1,121.51,5544.24,66530.90
T0000118,A01,67,65-74 years,2024-03-09T11:24,2024,3,Audio and visual equipment and services,Audio and Shop 8,41.20,5544.24,66530.90
T0000119,A01,67,65-74 years,2024-03-07T13:25,2024,3,Income before taxes,Income before Shop 9,124.07,5544.24,66530.90
T0000120,A01,67,65-74 years,2024-03-15T10:47,2024,3,Estimated market value of owned home,Estimated market Shop 7,236.04,5544.24,66530.90
T0000121,A01,67,65-74 years,2024-03-25T16:54,2024,3,Self-employment income,Selfemployment income Shop 8,377.69,5544.24,66530.90
T0000122,A01,67,65-74 years,2024-03-17T19:20,2024,3,Income before taxes,Income before Shop 2,59.82,5544.24,66530.90
T0000123,A01,67,65-74 years,2024-03-07T07:26,2024,3,Food away from home,Food away Shop 5,115.37,5544.24,66530.90
T0000124,A01,67,65-74 years,2024-03-26T20:48,2024,3,Estimated market value of owned home,Estimated market Shop 5,9.76,5544.24,66530.90
T0000125,A01,67,65-74 years,2024-03-24T16:37,2024,3,Estimated market value of owned home,Estimated market Shop 5,90.99,5544.24,66530.90
T0000126,A01,67,65-74 years,2024-03-18T16:24,2024,3,Estimated market value of owned home,Estimated market Shop 5,23.87,5544.24,66530.90
T0000127,A01,67,65-74 years,2024-03-06T17:16,2024,3,Income before taxes,Income before Shop 9,33.77,5544.24,66530.90
T0000128,A01,67,65-74 years,2024-03-20T19:55,2024,3,Income before taxes,Income before Shop 4,4.19,5544.24,66530.90
T0000129,A01,67,65-74 years,2024-03-24T19:12,2024,3,Estimated market value of owned home,Estimated market Shop 6,164.56,5544.24,66530.90
T0000130,A01,67,65-74 years,2024-03-17T13:39,2024,3,"Social Security, private and government retirement",Social Security Shop 9,118.37,5544.24,66530.90
T0000131,A01,67,65-74 years,2024-03-05T11:29,2024,3,Estimated market value of owned home,Estimated market Shop 3,147.15,5544.24,66530.90
T0000132,A01,67,65-74 years,2024-03-01T15:34,2024,3,Income before taxes,Income before Shop 6,77.11,5544.24,66530.90
T0000133,A01,67,65-74 years,2024-03-15T10:26,2024,3,Healthcare,Healthcare Shop 4,55.13,5544.24,66530.90
T0000134,A01,67,65-74 years,2024-03-29T15:01,2024,3,Transportation,Transportation Shop 7,21.93,5544.24,66530.90
T0000135,A01,67,65-74 years,2024-03-13T08:42,2024,3,Vehicle insurance,Vehicle insurance Shop 4,18.74,5544.24,66530.90
T0000136,A01,67,65-74 years,2024-03-25T08:18,2024,3,"Retirement, pensions, and Social Security",Retirement pensions Shop 4,19.78,5544.24,66530.90
T0000137,A01,67,65-74 years,2024-03-31T11:46,2024,3,Estimated market value of owned home,Estimated market Shop 4,162.82,5544.24,66530.90
T0000138,A01,67,65-74 years,2024-03-04T09:47,2024,3,Income before taxes,Income before Shop 1,80.43,5544.24,66530.90
T0000139,A01,67,65-74 years,2024-03-08T11:15,2024,3,Vehicle purchases (net outlay),Vehicle purchases Shop 1,259.18,5544.24,66530.90
T0000140,A01,67,65-74 years,2024-03-06T08:17,2024,3,"Social Security, private and government retirement",Social Security Shop 9,122.57,5544.24,66530.90
T0000141,A01,67,65-74 years,2024-03-18T09:36,2024,3,Estimated market value of owned home,Estimated market Shop 2,81.36,5544.24,66530.90
T0000142,A01,67,65-74 years,2024-03-28T08:58,2024,3,Water and other public services,Water and Shop 5,111.73,5544.24,66530.90
T0000143,A01,67,65-74 years,2024-03-26T11:23,2024,3,Health insurance,Health insurance Shop 7,145.97,5544.24,66530.90
T0000144,A01,67,65-74 years,2024-03-21T15:30,2024,3,Income before taxes,Income before Shop 3,95.99,5544.24,66530.90
T0000145,A01,67,65-74 years,2024-03-16T16:51,2024,3,Income before taxes,Income before Shop 5,163.73,5544.24,66530.90
T0000146,A01,67,65-74 years,2024-03-18T21:34,2024,3,Estimated market value of owned home,Estimated market Shop 2,92.47,5544.24,66530.90
T0000147,A01,67,65-74 years,2024-03-04T10:23,2024,3,"Social Security, private and government retirement",Social Security Shop 8,99.17,5544.24,66530.90
T0000148,A01,67,65-74 years,2024-03-03T16:54,2024,3,Housing,Housing Shop 3,103.89,5544.24,66530.90
T0000149,A01,67,65-74 years,2024-03-17T20:40,2024,3,Income before taxes,Income before Shop 3,111.60,5544.24,66530.90
T0000150,A01,67,65-74 years,2024-04-07T09:41,2024,4,Estimated market value of owned home,Estimated market Shop 6,178.84,5544.24,66530.90
T0000151,A01,67,65-74 years,2024-04-03T20:52,2024,4,Income before taxes,Income before Shop 6,25.67,5544.24,66530.90
T0000152,A01,67,65-74 years,2024-04-06T15:20,2024,4,"Social Security, private and government retirement",Social Security Shop 6,277.33,5544.24,66530.90
T0000153,A01,67,65-74 years,2024-04-09T19:17,2024,4,Estimated market value of owned home,Estimated market Shop 6,120.64,5544.24,66530.90
T0000154,A01,67,65-74 years,2024-04-09T14:17,2024,4,Wages and salaries,Wages and Shop 6,161.86,5544.24,66530.90
T0000155,A01,67,65-74 years,2024-04-04T13:27,2024,4,Owned dwellings,Owned dwellings Shop 1,29.12,5544.24,66530.90
T0000156,A01,67,65-74 years,2024-04-04T07:13,2024,4,Estimated market value of owned home,Estimated market Shop 5,99.42,5544.24,66530.90
T0000157,A01,67,65-74 years,2024-04-20T21:00,2024,4,Estimated market value of owned home,Estimated market Shop 1,262.69,5544.24,66530.90
T0000158,A01,67,65-74 years,2024-04-19T21:46,2024,4,Estimated market value of owned home,Estimated market Shop 8,37.28,5544.24,66530.90
T0000159,A01,67,65-74 years,2024-04-06T07:55,2024,4,Estimated market value of owned home,Estimated market Shop 2,129.98,5544.24,66530.90
T0000160,A01,67,65-74 years,2024-04-28T14:43,2024,4,Estimated market value of owned home,Estimated market Shop 3,66.61,5544.24,66530.90
T0000161,A01,67,65-74 years,2024-04-18T10:53,2024,4,Estimated market value of owned home,Estimated market Shop 8,24.05,5544.24,66530.90
T0000162,A01,67,65-74 years,2024-04-20T20:34,2024,4,Food away from home,Food away Shop 9,129.63,5544.24,66530.90
T0000163,A01,67,65-74 years,2024-04-08T08:17,2024,4,Estimated market value of owned home,Estimated market Shop 1,184.89,5544.24,66530.90
T0000164,A01,67,65-74 years,2024-04-15T10:12,2024,4,Estimated market value of owned home,Estimated market Shop 3,25.90,5544.24,66530.90
T0000165,A01,67,65-74 years,2024-04-25T08:22,2024,4,Estimated market value of owned home,Estimated market Shop 4,52.11,5544.24,66530.90
T0000166,A01,67,65-74 years,2024-04-06T15:01,2024,4,Estimated market value of owned home,Estimated market Shop 2,23.85,5544.24,66530.90
T0000167,A01,67,65-74 years,2024-04-21T12:51,2024,4,Estimated market value of owned home,Estimated market Shop 8,389.63,5544.24,66530.90
T0000168,A01,67,65-74 years,2024-04-06T13:14,2024,4,Income before taxes,Income before Shop 8,52.77,5544.24,66530.90
T0000169,A01,67,65-74 years,2024-04-25T12:59,2024,4,Fees and admissions,Fees and Shop 7,66.90,5544.24,66530.90
T0000170,A01,67,65-74 years,2024-04-14T11:39,2024,4,Estimated market value of owned home,Estimated market Shop 6,312.15,5544.24,66530.90
T0000171,A01,67,65-74 years,2024-04-21T08:53,2024,4,Audio and visual equipment and services,Audio and Shop 3,54.55,5544.24,66530.90
T0000172,A01,67,65-74 years,2024-04-29T12:26,2024,4,Food away from home,Food away Shop 1,43.64,5544.24,66530.90
T0000173,A01,67,65-74 years,2024-04-30T16:58,2024,4,Estimated market value of owned home,Estimated market Shop 4,107.92,5544.24,66530.90
T0000174,A01,67,65-74 years,2024-04-20T10:19,2024,4,Estimated market value of owned home,Estimated market Shop 5,67.70,5544.24,66530.90
T0000175,A01,67,65-74 years,2024-04-19T17:29,2024,4,Estimated market value of owned home,Estimated market Shop 8,236.68,5544.24,66530.90
T0000176,A01,67,65-74 years,2024-04-22T14:48,2024,4,Miscellaneous household equipment,Miscellaneous household Shop 7,54.02,5544.24,66530.90
T0000177,A01,67,65-74 years,2024-04-08T19:31,2024,4,Income before taxes,Income before Shop 6,39.97,5544.24,66530.90
T0000178,A01,67,65-74 years,2024-04-17T21:13,2024,4,Estimated market value of owned home,Estimated market Shop 5,57.01,5544.24,66530.90
T0000179,A01,67,65-74 years,2024-04-27T17:29,2024,4,Estimated market value of owned home,Estimated market Shop 5,199.52,5544.24,66530.90
T0000180,A01,67,65-74 years,2024-04-20T15:16,2024,4,"Social Security, private and government retirement",Social Security Shop 8,59.16,5544.24,66530.90
T0000181,A01,67,65-74 years,2024-04-14T19:19,2024,4,Other household expenses,Other household Shop 2,305.62,5544.24,66530.90
T0000182,A01,67,65-74 years,2024-04-07T19:37,2024,4,Estimated market value of owned home,Estimated market Shop 1,61.04,5544.24,66530.90
T0000183,A01,67,65-74 years,2024-04-28T07:31,2024,4,Telephone services,Telephone services Shop 3,89.97,5544.24,66530.90
T0000184,A01,67,65-74 years,2024-04-24T11:11,2024,4,Estimated market value of owned home,Estimated market Shop 6,189.57,5544.24,66530.90
T0000185,A01,67,65-74 years,2024-04-26T12:10,2024,4,Estimated market value of owned home,Estimated market Shop 1,54.45,5544.24,66530.90
T0000186,A01,67,65-74 years,2024-04-13T18:44,2024,4,Estimated market value of owned home,Estimated market Shop 7,106.10,5544.24,66530.90
T0000187,A01,67,65-74 years,2024-04-13T13:52,2024,4,Estimated market value of owned home,Estimated market Shop 3,136.60,5544.24,66530.90
T0000188,A01,67,65-74 years,2024-04-26T12:28,2024,4,Food at home,Food at Shop 1,40.63,5544.24,66530.90
T0000189,A01,67,65-74 years,2024-04-26T09:05,2024,4,Estimated market value of owned home,Estimated market Shop 9,97.72,5544.24,66530.90
T0000190,A01,67,65-74 years,2024-04-22T20:26,2024,4,Estimated market value of owned home,Estimated market Shop 5,117.94,5544.24,66530.90
T0000191,A01,67,65-74 years,2024-04-02T18:39,2024,4,Healthcare,Healthcare Shop 9,218.28,5544.24,66530.90
T0000192,A01,67,65-74 years,2024-04-01T17:31,2024,4,Estimated market value of owned home,Estimated market Shop 7,22.00,5544.24,66530.90
T0000193,A01,67,65-74 years,2024-04-17T20:32,2024,4,Estimated market value of owned home,Estimated market Shop 4,118.57,5544.24,66530.90
T0000194,A01,67,65-74 years,2024-04-17T10:02,2024,4,"Interest, dividends, rental income, and other property income",Interest dividends Shop 8,19.60,5544.24,66530.90
T0000195,A01,67,65-74 years,2024-04-02T12:01,2024,4,Estimated market value of owned home,Estimated market Shop 7,77.59,5544.24,66530.90
T0000196,A01,67,65-74 years,2024-04-22T20:45,2024,4,Personal insurance and pensions,Personal insurance Shop 9,53.89,5544.24,66530.90
T0000197,A01,67,65-74 years,2024-04-11T09:18,2024,4,Estimated market value of owned home,Estimated market Shop 6,164.70,5544.24,66530.90
T0000198,A01,67,65-74 years,2024-04-06T16:34,2024,4,Healthcare,Healthcare Shop 3,98.48,5544.24,66530.90
T0000199,A01,67,65-74 years,2024-05-12T08:02,2024,5,Estimated market value of owned home,Estimated market Shop 9,85.40,5544.24,66530.90
T0000200,A01,67,65-74 years,2024-05-09T20:16,2024,5,Vehicle insurance,Vehicle insurance Shop 7,208.84,5544.24,66530.90
T0000201,A01,67,65-74 years,2024-05-10T07:37,2024,5,Estimated market value of owned home,Estimated market Shop 4,21.28,5544.24,66530.90
T0000202,A01,67,65-74 years,2024-05-23T19:16,2024,5,Estimated market value of owned home,Estimated market Shop 5,199.35,5544.24,66530.90
T0000203,A01,67,65-74 years,2024-05-25T08:59,2024,5,Shelter,Shelter Shop 6,14.97,5544.24,66530.90
T0000204,A01,67,65-74 years,2024-05-03T11:17,2024,5,"Utilities, fuels, and public services",Utilities fuels Shop 3,51.05,5544.24,66530.90
T0000205,A01,67,65-74 years,2024-05-15T15:35,2024,5,Income before taxes,Income before Shop 1,102.14,5544.24,66530.90
T0000206,A01,67,65-74 years,2024-05-20T17:11,2024,5,Estimated market value of owned home,Estimated market Shop 3,69.05,5544.24,66530.90
T0000207,A01,67,65-74 years,2024-05-03T19:51,2024,5,Drugs,Drugs Shop 8,53.04,5544.24,66530.90
T0000208,A01,67,65-74 years,2024-05-18T08:22,2024,5,"Social Security, private and government retirement",Social Security Shop 4,95.32,5544.24,66530.90
T0000209,A01,67,65-74 years,2024-05-07T15:13,2024,5,"Retirement, pensions, and Social Security",Retirement pensions Shop 5,137.77,5544.24,66530.90
